term,polarity
beat,0.8
beats,0.8
beating,0.7
outperform,0.8
outperforms,0.8
outperforming,0.7
upgrade,0.8
upgraded,0.8
upgrades,0.7
raise,0.5
raised,0.5
raising,0.5
raises,0.5
strong,0.6
stronger,0.6
strongest,0.7
robust,0.6
solid,0.5
surge,0.7
surged,0.7
surges,0.7
surging,0.7
soar,0.8
soared,0.8
soaring,0.8
rally,0.6
rallies,0.6
rallying,0.6
rebound,0.6
rebounds,0.6
recover,0.5
recovery,0.6
recovering,0.5
recovered,0.5
gain,0.4
gains,0.4
gained,0.4
growth,0.5
growing,0.5
grew,0.5
expand,0.4
expansion,0.5
expanded,0.4
expanding,0.4
record,0.5
milestone,0.4
positive,0.5
approval,0.6
approved,0.6
awarded,0.6
wins,0.6
win,0.5
won,0.5
contract,0.3
order,0.3
partnership,0.4
launch,0.4
launched,0.4
launching,0.4
buy,0.4
bullish,0.7
uptrend,0.6
breakout,0.6
dividend,0.4
bonus,0.4
buyback,0.5
acquisition,0.3
acquire,0.3
acquired,0.3
profit,0.5
profitable,0.6
profitability,0.5
turnaround,0.6
guidance,0.2
raised-guidance,0.7
miss,-0.7
misses,-0.7
missed,-0.7
missing,-0.5
downgrade,-0.8
downgraded,-0.8
downgrades,-0.7
cut,-0.4
cuts,-0.4
weak,-0.6
weaker,-0.6
weakness,-0.6
weakest,-0.7
slump,-0.7
slumped,-0.7
slumps,-0.7
plunge,-0.9
plunged,-0.9
plunges,-0.9
plunging,-0.9
crash,-0.9
crashed,-0.9
crashes,-0.9
fall,-0.4
falls,-0.4
falling,-0.5
fell,-0.4
decline,-0.5
declines,-0.5
declining,-0.5
declined,-0.5
drop,-0.5
drops,-0.5
dropped,-0.5
dropping,-0.5
loss,-0.6
losses,-0.6
lost,-0.5
losing,-0.5
negative,-0.5
bearish,-0.7
downtrend,-0.6
breakdown,-0.6
lawsuit,-0.7
litigation,-0.6
probe,-0.6
investigation,-0.6
fine,-0.6
fined,-0.6
penalty,-0.6
penalized,-0.6
warning,-0.5
warns,-0.5
warned,-0.5
recall,-0.7
fraud,-0.9
scam,-0.9
scandal,-0.9
default,-0.9
bankruptcy,-1.0
insolvency,-1.0
insolvent,-1.0
downgrade-outlook,-0.7
strike,-0.5
layoff,-0.6
layoffs,-0.6
resign,-0.5
resigned,-0.5
resignation,-0.5
delay,-0.4
delays,-0.4
delayed,-0.4
concern,-0.4
concerns,-0.4
risk,-0.3
risky,-0.5
volatile,-0.3
downside,-0.4
sell,-0.4
selloff,-0.7
sell-off,-0.7
correction,-0.4
